Date,Shares
2025-02-26,625480000
2025-02-27,633508992
2025-02-27,625480000
2025-02-28,625480000
2025-03-01,625480000
2025-03-04,631843968
2025-03-04,625480000
2025-03-07,625480000
2025-03-08,625480000
2025-03-11,638313984
2025-03-11,625480000
2025-03-14,625480000
2025-03-15,625480000
2025-03-19,625480000
2025-03-20,625480000
2025-03-21,626465984
2025-03-22,626465984
2025-03-26,626465984
2025-03-28,631806016
2025-03-28,626465984
2025-04-05,626465984
2025-04-08,626465984
2025-04-09,626025984
2025-04-10,658334976
2025-04-11,626025984
2025-04-17,626025984
2025-04-18,626025984
2025-04-18,632433984
2025-04-22,633020992
2025-04-23,626025984
2025-04-30,626025984
2025-05-02,626025984
2025-05-06,626025984
2025-05-07,626025984
2025-05-07,634083008
2025-05-10,626025984
2025-05-10,628017984
2025-05-13,626025984
2025-05-20,626025984
2025-05-22,626025984
2025-05-24,626025984
2025-05-27,626025984
2025-05-28,626025984
2025-05-29,626025984
2025-05-30,627824000
2025-05-31,626025984
2025-06-04,629166976
2025-06-04,626025984
2025-06-05,626025984
2025-06-06,628049984
2025-06-06,626025984
2025-06-07,626025984
2025-06-10,626025984
2025-06-10,628062016
2025-06-11,626025984
2025-06-12,626025984
2025-06-13,626025984
2025-06-14,626025984
2025-06-14,638918976
2025-06-16,626025984
2025-06-17,630640000
2025-06-18,626025984
2025-06-18,637569984
2025-06-19,626025984
2025-06-21,623000000
2025-06-24,622852992
2025-06-25,622852992
2025-06-26,622852992
2025-06-27,622852992
2025-06-28,624160000
2025-06-28,622852992
2025-07-01,622852992
2025-07-04,622852992
2025-07-08,622852992
2025-07-08,631640000
2025-07-10,622852992
2025-07-10,635272000
2025-07-11,639030016
2025-07-11,622852992
2025-07-12,622852992
2025-07-15,622852992
2025-07-16,622852992
2025-07-23,622852992
2025-07-24,622852992
2025-07-30,622852992
2025-08-01,622852992
2025-08-07,622852992
2025-08-08,622852992
2025-08-08,637849024
2025-08-09,622852992
2025-08-14,622852992
2025-08-20,622852992
2025-08-21,622852992
2025-08-22,622852992
2025-08-26,622852992
2025-08-29,622852992
2025-09-04,622852992
2025-09-05,622852992
2025-09-05,625832000
2025-09-11,622852992
2025-09-13,622852992
2025-09-16,622852992
2025-09-17,622852992
2025-09-17,622852697
2025-09-18,622852697
2025-09-20,622852697
2025-09-23,622852697
2025-09-24,622852697
2025-09-26,622000000
2025-09-26,640314856
2025-10-02,622000000
2025-10-02,630396783
2025-10-11,620138892
2025-10-14,620138892
2025-10-15,620138892
2025-10-17,620138892
2025-10-18,620138892
2025-10-20,620138892
2025-10-23,620138892
2025-10-24,625547735
2025-10-25,620138892
2025-10-27,620138892
2025-10-28,620138892
2025-10-29,620138892
2025-11-05,620138892
2025-11-05,634282858
2025-11-06,620138892
2025-11-08,620138892
2025-11-14,620138892
2025-11-15,626107359
2025-11-17,622852697
2025-12-16,660352923
2025-12-19,620138892
2026-03-24,615435159
