Date,Shares
2025-02-26,28219400
2025-03-04,28219400
2025-03-04,29596200
2025-03-05,28219400
2025-03-06,28218800
2025-03-10,30289200
2025-03-11,28218800
2025-03-12,28218800
2025-03-14,28218800
2025-03-18,28218800
2025-03-20,28218800
2025-03-21,28218800
2025-03-22,28218800
2025-03-22,28239200
2025-03-25,28218800
2025-03-26,28218800
2025-03-27,29383400
2025-03-27,28769100
2025-03-27,28218800
2025-03-28,28218800
2025-03-29,28218800
2025-04-01,28218800
2025-04-01,28662100
2025-04-02,28218800
2025-04-05,28218800
2025-04-09,28218800
2025-04-10,28218800
2025-04-11,28218800
2025-04-16,28218800
2025-04-18,28218800
2025-04-22,28886200
2025-04-23,28985100
2025-04-23,28218800
2025-04-24,28218800
2025-04-26,28218800
2025-04-29,28218800
2025-04-30,28218800
2025-05-01,28218800
2025-05-03,45644700
2025-05-06,45644700
2025-05-07,45644700
2025-05-07,46641100
2025-05-10,45644700
2025-05-10,46447400
2025-05-17,45644700
2025-05-20,45644700
2025-05-21,45644700
2025-05-28,45644700
2025-05-29,45644700
2025-05-29,46674100
2025-05-29,46100200
2025-05-30,45644700
2025-06-04,45644700
2025-06-05,46311400
2025-06-05,45644700
2025-06-06,45644700
2025-06-10,45644700
2025-06-11,47113100
2025-06-11,45644700
2025-06-13,45644700
2025-06-14,45644700
2025-06-16,47706000
2025-06-17,45644700
2025-06-19,45644700
2025-06-21,45644700
2025-06-24,45644700
2025-06-25,45644700
2025-06-26,45692900
2025-06-27,45692900
2025-06-28,45692900
2025-07-02,45592800
2025-07-05,49121100
2025-07-08,50241200
2025-07-08,49121100
2025-07-08,49881500
2025-07-09,49121100
2025-07-10,49183300
2025-07-10,49121100
2025-07-11,49121100
2025-07-11,49287000
2025-07-12,49121100
2025-07-15,49121100
2025-07-16,49121100
2025-07-17,49650300
2025-07-19,50471100
2025-07-19,49650300
2025-07-22,49650300
2025-07-23,49650300
2025-07-25,49650300
2025-07-31,49650300
2025-08-01,49650300
2025-08-02,49650300
2025-08-02,51095500
2025-08-07,49961700
2025-08-07,50317800
2025-08-07,49650300
2025-08-08,49650300
2025-08-12,49650300
2025-08-13,49650300
2025-08-15,49932200
2025-08-20,49932200
2025-08-22,49932200
2025-08-23,49932200
2025-08-29,49932200
2025-08-30,49932200
2025-08-30,51500400
2025-09-05,49932200
2025-09-05,52457900
2025-09-06,49932200
2025-09-09,49932200
2025-09-10,49932200
2025-09-11,49932200
2025-09-12,51014300
2025-09-12,49932200
2025-09-13,49932200
2025-09-17,49932200
2025-09-17,49932233
2025-09-18,49932207
2025-09-20,49932207
2025-09-20,50806984
2025-09-23,49932207
2025-09-24,49932207
2025-09-25,49932207
2025-09-26,49932207
2025-09-27,49932207
2025-10-02,49932207
2025-10-06,49932207
2025-10-08,49932207
2025-10-10,49932207
2025-10-14,49932207
2025-10-15,49932207
2025-10-15,50951663
2025-10-16,49932207
2025-10-18,49932207
2025-10-18,53280580
2025-10-24,49932207
2025-10-25,49932207
2025-10-27,49932207
2025-10-28,49932207
2025-11-01,49932207
2025-11-05,49932207
2025-11-11,49932207
2025-11-12,49932207
2025-11-13,49932207
2025-11-15,50666075
2025-11-17,49932234
2025-12-11,49932207
2026-03-17,49933993
2026-03-20,50605071
