Date,Shares
2025-03-04,563900032
2025-03-04,585267968
2025-03-10,598088000
2025-03-11,563900032
2025-03-26,563900032
2025-03-26,564241984
2025-03-27,563900032
2025-03-27,572388992
2025-03-28,563900032
2025-03-28,571497024
2025-04-10,590475008
2025-04-11,563900032
2025-04-22,582321984
2025-04-23,563900032
2025-05-07,563900032
2025-05-07,569734976
2025-05-09,562499968
2025-05-29,562499968
2025-05-29,568278016
2025-05-30,565043968
2025-05-31,562499968
2025-06-14,562499968
2025-06-14,567787008
2025-06-17,568284992
2025-06-18,562499968
2025-07-08,562499968
2025-07-08,568027008
2025-07-11,562499968
2025-07-11,566001024
2025-07-11,564788992
2025-07-12,562499968
2025-08-02,562499968
2025-08-02,577297984
2025-08-07,590387968
2025-08-07,562800000
2025-08-08,567460992
2025-08-08,562800000
2025-09-26,570629283
2025-09-26,562800000
2025-10-08,562800000
2025-10-08,576838969
2025-10-24,564963310
2025-10-25,562800000
2025-11-05,562800000
2025-11-05,572156846
2025-11-12,561800000
2025-11-15,565675090
2025-11-17,562800000
2025-12-16,562302093
2026-02-05,562302094
