Date,Shares
2024-02-21,2212730112
2024-02-22,2212730112
2024-02-27,2212730112
2024-03-05,2212730112
2024-03-05,2294650112
2024-03-06,2212730112
2024-03-08,2212730112
2024-03-12,2212730112
2024-03-12,2272960000
2024-03-13,2212730112
2024-03-16,2301280000
2024-03-16,2212730112
2024-03-19,2212730112
2024-03-21,2212730112
2024-03-22,2212730112
2024-03-22,2219960064
2024-03-26,2212730112
2024-03-26,2178949888
2024-03-27,2212730112
2024-04-12,2212730112
2024-04-13,2212730112
2024-04-16,2290530048
2024-04-16,2212730112
2024-04-17,2214759936
2024-04-17,2212730112
2024-04-18,2212730112
2024-04-19,2212730112
2024-04-20,2212730112
2024-04-25,2212730112
2024-04-25,2217860096
2024-04-27,2212730112
2024-04-30,2182690048
2024-04-30,2226990080
2024-05-04,2226990080
2024-05-04,2152539904
2024-05-06,2130439936
2024-05-07,2226990080
2024-05-08,2226899968
2024-05-09,2226899968
2024-05-10,2226899968
2024-05-10,2271140096
2024-05-11,2226899968
2024-05-11,2285270016
2024-05-15,2174960128
2024-05-16,2226899968
2024-05-17,2228950016
2024-05-17,2226899968
2024-05-21,2226899968
2024-05-21,2266739968
2024-05-22,2226899968
2024-05-23,2226899968
2024-05-23,2234259968
2024-05-24,2226899968
2024-05-24,2275259904
2024-05-25,2226899968
2024-05-25,2196160000
2024-05-31,2145939968
2024-05-31,2226899968
2024-06-04,2226899968
2024-06-07,2226899968
2024-06-07,2149199872
2024-06-08,2226899968
2024-06-11,2226899968
2024-06-12,2226899968
2024-06-12,2159670016
2024-06-13,2226899968
2024-06-13,2234390016
2024-06-14,2226899968
2024-06-15,2226899968
2024-06-18,2226899968
2024-06-21,2226899968
2024-06-21,2249550080
2024-06-22,2226899968
2024-06-25,2226899968
2024-06-27,2226899968
2024-06-28,2226899968
2024-06-28,2130339968
2024-07-02,2226899968
2024-07-03,2226899968
2024-07-03,2231209984
2024-07-06,2226899968
2024-07-10,2146189952
2024-07-10,2226899968
2024-07-10,2252100096
2024-07-11,2226899968
2024-07-12,2226899968
2024-07-16,2226899968
2024-07-18,2226899968
2024-07-18,2262409984
2024-07-24,2226899968
2024-07-24,2199840000
2024-07-27,2226899968
2024-07-31,2286850048
2024-08-01,2226899968
2024-08-02,2226899968
2024-08-03,2226899968
2024-08-06,2226899968
2024-08-07,2239450112
2024-08-08,2239450112
2024-08-09,2239450112
2024-08-10,2239450112
2024-08-10,2184979968
2024-08-12,2287470080
2024-08-13,2239450112
2024-08-17,2179419904
2024-08-17,2239450112
2024-08-20,2239450112
2024-08-20,2210510080
2024-08-22,2239450112
2024-08-27,2239450112
2024-08-27,2306959872
2024-08-28,2239450112
2024-08-29,2239450112
2024-08-29,2274860032
2024-08-30,2239450112
2024-08-30,2205309952
2024-08-31,2239450112
2024-09-04,2310650112
2024-09-04,2239450112
2024-09-05,2233600000
2024-09-05,2239450112
2024-09-06,2271379968
2024-09-06,2239450112
2024-09-07,2239450112
2024-09-07,2226899968
2024-09-11,2239450112
2024-09-11,2229149952
2024-09-12,2239450112
2024-09-12,2233669888
2024-09-14,2239450112
2024-09-16,2195049984
2024-09-17,2239450112
2024-09-18,2239450112
2024-09-18,2230850048
2024-09-20,2239450112
2024-09-20,2212090112
2024-09-21,2239450112
2024-09-21,2217179904
2024-09-25,2239450112
2024-09-27,2239450112
2024-09-28,2239450112
2024-09-28,2255259904
2024-10-01,2239450112
2024-10-04,2239450112
