Date,Shares
2024-02-21,485887008
2024-02-22,485887008
2024-02-22,505783008
2024-02-24,485887008
2024-02-29,488923008
2024-03-01,488923008
2024-03-05,488923008
2024-03-05,501063008
2024-03-06,489140000
2024-03-07,489140000
2024-03-08,489140000
2024-03-12,489140000
2024-03-13,489140000
2024-03-14,489140000
2024-03-15,489140000
2024-03-16,497471008
2024-03-16,489140000
2024-03-19,489140000
2024-03-21,489140000
2024-03-22,489140000
2024-03-23,489140000
2024-03-26,489140000
2024-03-28,489140000
2024-04-12,506188000
2024-04-13,489140000
2024-04-16,489140000
2024-04-17,489140000
2024-04-25,489140000
2024-04-25,494500992
2024-04-26,492684000
2024-05-08,492780000
2024-05-11,510164992
2024-05-11,492780000
2024-05-15,492780000
2024-05-17,492780000
2024-05-18,492780000
2024-05-23,492780000
2024-05-23,506404992
2024-05-24,506792000
2024-05-24,492780000
2024-05-25,492780000
2024-06-01,492780000
2024-06-04,492780000
2024-06-05,498536000
2024-06-05,492780000
2024-06-07,492780000
2024-06-08,492780000
2024-06-14,492780000
2024-06-15,510740000
2024-06-15,492780000
2024-06-18,498456992
2024-06-18,492780000
2024-06-19,492780000
2024-06-22,492780000
2024-06-26,492780000
2024-06-28,492780000
2024-07-03,492780000
2024-07-06,492780000
2024-07-09,492780000
2024-07-10,492780000
2024-07-12,492780000
2024-07-16,492780000
2024-07-17,492780000
2024-07-18,492780000
2024-07-18,509521984
2024-07-19,498465984
2024-07-19,492780000
2024-07-20,492780000
2024-07-31,499350016
2024-08-01,492780000
2024-08-03,492780000
2024-08-07,492780000
2024-08-10,496640000
2024-08-12,496640000
2024-08-13,496640000
2024-08-14,496640000
2024-08-20,496640000
2024-08-21,496640000
2024-08-27,496640000
2024-08-27,512851008
2024-08-29,496640000
2024-08-29,499087008
2024-09-04,513849984
2024-09-04,496640000
2024-09-05,496640000
2024-09-06,496640000
2024-09-06,519680000
2024-09-06,517028000
2024-09-07,496640000
2024-09-10,496640000
2024-09-11,496640000
2024-09-12,496640000
2024-09-18,510492992
2024-09-18,496640000
2024-09-19,496640000
2024-09-20,496640000
2024-09-21,496640000
2024-09-26,496640000
2024-09-27,496640000
2024-10-01,496640000
2024-10-03,496640000
2024-10-04,496640000
2024-10-04,520212992
2024-10-08,502796992
2024-10-09,496640000
2024-10-10,496640000
2024-10-11,496640000
2024-10-12,496640000
2024-10-14,496640000
2024-10-15,496640000
2024-10-16,496640000
2024-10-17,496640000
2024-10-18,496640000
2024-10-19,496640000
2024-10-22,496640000
2024-10-23,496640000
2024-10-24,496640000
2024-10-25,496640000
2024-10-29,496640000
2024-10-30,519296992
2024-10-30,496640000
2024-10-31,496640000
2024-11-01,509184000
2024-11-01,496640000
2024-11-02,496640000
